month_start,window_N,window_M,ic_score,is_optimal
2021-07-01,15,100,0.19849976064095173,0
2021-07-01,20,100,0.1980734477906268,0
2021-07-01,25,100,-0.09308442424336942,0
2021-07-01,30,100,-0.048052703732085006,0
2021-07-01,35,100,-0.08428072970782949,0
2021-07-01,40,100,-0.05839017449972921,0
2021-07-01,45,100,-0.15756068519114494,0
2021-07-01,50,100,-0.06687874797715374,0
2021-07-01,55,100,0.05695003347422799,0
2021-07-01,60,100,0.1385993806498626,0
2021-07-01,10,150,0.24309833794594193,0
2021-07-01,15,150,0.19395813987048302,0
2021-07-01,20,150,0.17817630002718138,0
2021-07-01,25,150,-0.11870038359613476,0
2021-07-01,30,150,-0.060313999846086555,0
2021-07-01,35,150,-0.08581110450828208,0
2021-07-01,40,150,-0.08056491618462383,0
2021-07-01,45,150,-0.16859172029088437,0
2021-07-01,50,150,-0.0620922995051117,0
2021-07-01,55,150,0.06914313502407937,0
2021-07-01,60,150,0.12136264181427917,0
2021-07-01,10,200,0.257391335225337,1
2021-07-01,15,200,0.21821044559671707,0
2021-07-01,20,200,0.20052887430603036,0
2021-07-01,25,200,-0.11506568735606262,0
2021-07-01,30,200,-0.07106952656634974,0
2021-07-01,35,200,-0.1074878467254194,0
2021-07-01,40,200,-0.08381221330147437,0
2021-07-01,45,200,-0.16493355979767443,0
2021-07-01,50,200,-0.06843238569767743,0
2021-07-01,55,200,0.07492933178214412,0
2021-07-01,60,200,0.1408916859153998,0
2021-08-01,10,100,0.2895633999458678,0
2021-08-01,15,100,0.2820641252147428,0
2021-08-01,20,100,0.17263243780363866,0
2021-08-01,25,100,0.08033089620697569,0
2021-08-01,30,100,0.06302277183672515,0
2021-08-01,35,100,-0.08203070559896017,0
2021-08-01,40,100,-0.17834405513070517,0
2021-08-01,45,100,-0.2632171856326141,0
2021-08-01,50,100,-0.05812701872675563,0
2021-08-01,55,100,0.09084072508955648,0
2021-08-01,60,100,0.1688111355118017,0
2021-08-01,10,150,0.2932756888706276,0
2021-08-01,15,150,0.2668894040447526,0
2021-08-01,20,150,0.15417904778365582,0
2021-08-01,25,150,0.05476882181473447,0
2021-08-01,30,150,0.05561022067643447,0
2021-08-01,35,150,-0.08111130355864118,0
2021-08-01,40,150,-0.1758311890270938,0
2021-08-01,45,150,-0.23450223057981037,0
2021-08-01,50,150,-0.0009436089210465827,0
2021-08-01,55,150,0.153376744315722,0
2021-08-01,60,150,0.20351119657739056,0
2021-08-01,10,200,0.30611618604309854,1
2021-08-01,15,200,0.2855943056587507,0
2021-08-01,20,200,0.1847462359146585,0
2021-08-01,25,200,0.10473910309994695,0
2021-08-01,30,200,0.11725230924356368,0
2021-08-01,35,200,-0.006286909182635645,0
2021-08-01,40,200,-0.11038341219634772,0
2021-08-01,45,200,-0.16698336053226473,0
2021-08-01,50,200,0.02109823196801565,0
2021-08-01,55,200,0.14465972838391924,0
2021-08-01,60,200,0.19597152967317996,0
2021-09-01,10,100,0.2667360838938003,1
2021-09-01,15,100,0.26459560601302706,0
2021-09-01,20,100,0.1302400783506488,0
2021-09-01,25,100,0.07972636566687709,0
2021-09-01,30,100,0.08431903434752898,0
2021-09-01,35,100,-0.045721393073085065,0
2021-09-01,40,100,-0.10664691731961815,0
2021-09-01,45,100,-0.12093244961357723,0
2021-09-01,50,100,-0.03006626284605122,0
2021-09-01,55,100,-0.030528226896140515,0
2021-09-01,60,100,-0.007642864252330313,0
2021-09-01,10,150,0.2500885320130627,0
2021-09-01,15,150,0.23526426786223525,0
2021-09-01,20,150,0.1095576482867902,0
2021-09-01,25,150,0.06018121742359453,0
2021-09-01,30,150,0.06389983805662698,0
2021-09-01,35,150,-0.05148014782550683,0
2021-09-01,40,150,-0.09846166191874756,0
2021-09-01,45,150,-0.10884936607768195,0
2021-09-01,50,150,-0.03607079119358257,0
2021-09-01,55,150,-0.0675597094515582,0
2021-09-01,60,150,-0.10204308412351044,0
2021-09-01,10,200,0.24148111213196485,0
2021-09-01,15,200,0.22336313145787826,0
2021-09-01,20,200,0.09820753790052546,0
2021-09-01,25,200,0.04638361251047362,0
2021-09-01,30,200,0.04844238852193696,0
2021-09-01,35,200,-0.04747289337134647,0
2021-09-01,40,200,-0.08487092537091193,0
2021-09-01,45,200,-0.08585910712914588,0
2021-09-01,50,200,-0.03639964005794602,0
2021-09-01,55,200,-0.06562625101457786,0
2021-09-01,60,200,-0.08901521551804047,0
2021-10-01,10,100,0.12375286428297393,0
2021-10-01,15,100,0.1252201165096526,1
2021-10-01,20,100,0.08759532814592441,0
2021-10-01,25,100,0.04064891132018108,0
2021-10-01,30,100,0.030804361506884446,0
2021-10-01,35,100,-0.03245693307411163,0
2021-10-01,40,100,-0.0905336859070442,0
2021-10-01,45,100,-0.12222557008406067,0
2021-10-01,50,100,-0.029224117475790196,0
2021-10-01,55,100,-0.07382543785660901,0
2021-10-01,60,100,-0.034310617619155166,0
2021-10-01,10,150,0.12147121620981509,0
2021-10-01,15,150,0.1107210490167851,0
2021-10-01,20,150,0.0682723096238913,0
2021-10-01,25,150,0.01790280819938007,0
2021-10-01,30,150,0.017892707151530105,0
2021-10-01,35,150,-0.048631973335324936,0
2021-10-01,40,150,-0.1018604114134886,0
2021-10-01,45,150,-0.12651699098142913,0
2021-10-01,50,150,-0.050438255645735106,0
2021-10-01,55,150,-0.10290911667871576,0
2021-10-01,60,150,-0.0740295770365659,0
2021-10-01,10,200,0.12041058798628507,0
2021-10-01,15,200,0.11183979863923103,0
2021-10-01,20,200,0.06403279168095413,0
2021-10-01,25,200,0.014733708970762862,0
2021-10-01,30,200,0.012435562980401734,0
2021-10-01,35,200,-0.061395009183534466,0
2021-10-01,40,200,-0.11486102990076501,0
2021-10-01,45,200,-0.13017105741410753,0
2021-10-01,50,200,-0.07988331251200369,0
2021-10-01,55,200,-0.14023291431624063,0
2021-10-01,60,200,-0.14534060176736863,0
2021-11-01,10,100,-0.08608700396807692,0
2021-11-01,15,100,-0.02758993444207376,0
2021-11-01,20,100,0.03477683737958398,0
2021-11-01,25,100,0.03386945441483084,0
2021-11-01,30,100,-0.016925071294997856,0
2021-11-01,35,100,0.04022094372314492,0
2021-11-01,40,100,0.09645743018113279,1
2021-11-01,45,100,0.07995826598551178,0
2021-11-01,50,100,0.060353909498605356,0
2021-11-01,55,100,0.0432534589477662,0
2021-11-01,60,100,0.05962553270065744,0
2021-11-01,10,150,-0.07453693459147903,0
2021-11-01,15,150,-0.022222132779731875,0
2021-11-01,20,150,0.0331137656389746,0
2021-11-01,25,150,0.033772396093097554,0
2021-11-01,30,150,-0.004395605422229965,0
2021-11-01,35,150,0.03300575620020611,0
2021-11-01,40,150,0.079635083538129,0
2021-11-01,45,150,0.07728606383194882,0
2021-11-01,50,150,0.06893315265917002,0
2021-11-01,55,150,0.048517685321944753,0
2021-11-01,60,150,0.039919078022043274,0
2021-11-01,10,200,-0.07279512378630729,0
2021-11-01,15,200,-0.01868570309661952,0
2021-11-01,20,200,0.03568517765200738,0
2021-11-01,25,200,0.03805956089630133,0
2021-11-01,30,200,-0.0017801559957243303,0
2021-11-01,35,200,0.03175400038804681,0
2021-11-01,40,200,0.0805276552428352,0
2021-11-01,45,200,0.0819038846388469,0
2021-11-01,50,200,0.08073304975277674,0
2021-11-01,55,200,0.057461690295282815,0
2021-11-01,60,200,0.06369334488860931,0
2021-12-01,10,100,-0.1273006684643232,0
2021-12-01,15,100,-0.012231692514719514,0
2021-12-01,20,100,0.06454398140057335,0
2021-12-01,25,100,0.016289573853294735,0
2021-12-01,30,100,-0.10516478588428735,0
2021-12-01,35,100,0.009445025681634382,0
2021-12-01,40,100,0.09736231203020973,0
2021-12-01,45,100,0.07269423083010262,0
2021-12-01,50,100,-0.014356993292507537,0
2021-12-01,55,100,-0.03724905890223517,0
2021-12-01,60,100,0.1338792825666376,1
2021-12-01,10,150,-0.12250078620738485,0
2021-12-01,15,150,0.0038736037865926476,0
2021-12-01,20,150,0.06683013363641377,0
2021-12-01,25,150,0.019958934316759026,0
2021-12-01,30,150,-0.08597457857515729,0
2021-12-01,35,150,5.679536358119968e-05,0
